title,release_date,developer,publisher,genre,product_rating,user_score,platform,metascore,source
Turtle Tale,5/22/2014,Saturnine Games,Saturnine Games,2D Platformer,Rated E For Everyone,,3DS,41,dataset3
Turtle Tale,5/22/2014,Saturnine Games,Saturnine Games,2D Platformer,Rated E For Everyone,,Wii U,tbd,dataset3
Batman: Arkham City - Harley Quinn's Revenge,5/29/2012,Rocksteady Studios,Warner Bros. Interactive Entertainment,Open-World Action,Rated T For Teen,7.1,PlayStation 3,74,dataset3
Batman: Arkham City - Harley Quinn's Revenge,5/29/2012,Rocksteady Studios,Warner Bros. Interactive Entertainment,Open-World Action,Rated T For Teen,7.1,Xbox 360,72,dataset3
Batman: Arkham City - Harley Quinn's Revenge,5/29/2012,Rocksteady Studios,Warner Bros. Interactive Entertainment,Open-World Action,Rated T For Teen,7.1,PC,tbd,dataset3
Solstice Arena,5/23/2013,Zynga,Zynga,MMORPG,,5.6,iOS (iPhone/iPad),83,dataset3
Solstice Arena,5/23/2013,Zynga,Zynga,MMORPG,,5.6,PC,tbd,dataset3
Fast & Furious Crossroads,8/7/2020,Slightly Mad Studios,Bandai Namco Games,Auto Racing,Rated T For Teen,1.7,Xbox One,49,dataset3
Fast & Furious Crossroads,8/7/2020,Slightly Mad Studios,Bandai Namco Games,Auto Racing,Rated T For Teen,1.7,PC,34,dataset3
Fast & Furious Crossroads,8/7/2020,Slightly Mad Studios,Bandai Namco Games,Auto Racing,Rated T For Teen,1.7,PlayStation 4,35,dataset3
Sid Meier's Ace Patrol: Pacific Skies,11/7/2013,Firaxis Games,2K Games,Strategy,,,PC,59,dataset3
Sid Meier's Ace Patrol: Pacific Skies,11/7/2013,Firaxis Games,2K Games,Strategy,,,iOS (iPhone/iPad),82,dataset3
SingStar Celebration,10/24/2017,Sony Interactive Entertainment,Sony Interactive Entertainment,Rhythm,Rated T For Teen,6.1,PlayStation 4,65,dataset3
F-Zero: Maximum Velocity,6/12/2001,Nd Cube,Nintendo,Future Racing,Rated E For Everyone,7.9,Game Boy Advance,86,dataset3
Steel Battalion: Heavy Armor,6/19/2012,From Software,Capcom,Vehicle Combat Sim,Rated M For Mature,2.5,Xbox 360,38,dataset3
Mega Man 9,10/1/2008,Inti Creates,Capcom,2D Platformer,Rated E For Everyone,7.4,Xbox 360,82,dataset3
Mega Man 9,10/1/2008,Inti Creates,Capcom,2D Platformer,Rated E For Everyone,7.4,Wii,83,dataset3
Mega Man 9,10/1/2008,Inti Creates,Capcom,2D Platformer,Rated E For Everyone,7.4,PlayStation 3,77,dataset3
Warhammer Quest,5/30/2013,Rodeo Games,Rodeo Games,Turn-Based Strategy,,5.6,iOS (iPhone/iPad),79,dataset3
Warhammer Quest,5/30/2013,Rodeo Games,Rodeo Games,Turn-Based Strategy,,5.6,PC,55,dataset3
Warhammer Quest,5/30/2013,Rodeo Games,Rodeo Games,Turn-Based Strategy,,5.6,Xbox One,55,dataset3
Warhammer Quest,5/30/2013,Rodeo Games,Rodeo Games,Turn-Based Strategy,,5.6,PlayStation 4,tbd,dataset3
Uno (2016),8/16/2016,Ubisoft Chengdu,Ubisoft,Board,Rated E For Everyone,6.3,PlayStation 4,71,dataset3
Uno (2016),8/16/2016,Ubisoft Chengdu,Ubisoft,Board,Rated E For Everyone,6.3,Xbox One,57,dataset3
Uno (2016),8/16/2016,Ubisoft Chengdu,Ubisoft,Board,Rated E For Everyone,6.3,Nintendo Switch,69,dataset3
Master of Orion: Conquer the Stars,8/25/2016,NGD Studios,WG Labs,4X Strategy,,7.1,PC,74,dataset3
Populous DS,11/10/2008,Genki,XSEED Games,Strategy,Rated E +10 For Everyone +10,,DS,60,dataset3
Thirsty Suitors,11/2/2023,Outerloop Games,Annapurna Interactive,Action Adventure,,5.7,PC,80,dataset3
Thirsty Suitors,11/2/2023,Outerloop Games,Annapurna Interactive,Action Adventure,,5.7,Nintendo Switch,75,dataset3
Thirsty Suitors,11/2/2023,Outerloop Games,Annapurna Interactive,Action Adventure,,5.7,PlayStation 5,75,dataset3
Thirsty Suitors,11/2/2023,Outerloop Games,Annapurna Interactive,Action Adventure,,5.7,Xbox Series X,77,dataset3
Top Angler,3/28/2002,SIMS,Xicat Interactive,Fishing,Rated E For Everyone,,PlayStation 2,53,dataset3
Top Angler,3/28/2002,SIMS,Xicat Interactive,Fishing,Rated E For Everyone,,GameCube,tbd,dataset3
Boom Beach,3/26/2014,,,Command RTS,,6.0,iOS (iPhone/iPad),69,dataset3
WWE Raw,2/11/2002,Anchor (Legacy),THQ,Wrestling,Rated T For Teen,5.3,PC,54,dataset3
WWE Raw,2/11/2002,Anchor (Legacy),THQ,Wrestling,Rated T For Teen,5.3,Xbox,68,dataset3
Europa Universalis: Rome - Vae Victis,11/19/2008,Paradox Development Studio,Paradox Interactive,Strategy,Rated E +10 For Everyone +10,8.4,PC,79,dataset3
Tandem: A Tale of Shadows,10/21/2021,Monochrome Paris,Hatinh Interactive,Action Adventure,,7.0,PC,73,dataset3
Tandem: A Tale of Shadows,10/21/2021,Monochrome Paris,Hatinh Interactive,Action Adventure,,7.0,Nintendo Switch,tbd,dataset3
Tandem: A Tale of Shadows,10/21/2021,Monochrome Paris,Hatinh Interactive,Action Adventure,,7.0,PlayStation 4,74,dataset3
Tandem: A Tale of Shadows,10/21/2021,Monochrome Paris,Hatinh Interactive,Action Adventure,,7.0,Xbox One,79,dataset3
Wulverblade,10/12/2017,Darkwind Media,Darkwind Media,2D Beat-'Em-Up,Rated M For Mature,7.5,Xbox One,77,dataset3
Wulverblade,10/12/2017,Darkwind Media,Darkwind Media,2D Beat-'Em-Up,Rated M For Mature,7.5,PC,75,dataset3
Wulverblade,10/12/2017,Darkwind Media,Darkwind Media,2D Beat-'Em-Up,Rated M For Mature,7.5,Nintendo Switch,76,dataset3
Wulverblade,10/12/2017,Darkwind Media,Darkwind Media,2D Beat-'Em-Up,Rated M For Mature,7.5,PlayStation 4,76,dataset3
GRIME,8/2/2021,Funnel Entertainment,Akupara Games,Metroidvania,,7.8,PC,81,dataset3
GRIME,8/2/2021,Funnel Entertainment,Akupara Games,Metroidvania,,7.8,Xbox Series X,tbd,dataset3
GRIME,8/2/2021,Funnel Entertainment,Akupara Games,Metroidvania,,7.8,PlayStation 5,tbd,dataset3
McFarlane's Evil Prophecy,6/15/2004,Konami,Konami,3D Beat-'Em-Up,Rated M For Mature,3.2,PlayStation 2,34,dataset3
Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed,4/25/2023,Monolith Soft,Nintendo,Action RPG,Rated T For Teen,8.8,Nintendo Switch,92,dataset3
Roller Champions,5/25/2022,Ubisoft Montreal,Ubisoft,Future Sport,Rated E +10 For Everyone +10,3.5,PlayStation 4,tbd,dataset3
Roller Champions,5/25/2022,Ubisoft Montreal,Ubisoft,Future Sport,Rated E +10 For Everyone +10,3.5,Xbox One,61,dataset3
Roller Champions,5/25/2022,Ubisoft Montreal,Ubisoft,Future Sport,Rated E +10 For Everyone +10,3.5,PC,69,dataset3
Roller Champions,5/25/2022,Ubisoft Montreal,Ubisoft,Future Sport,Rated E +10 For Everyone +10,3.5,Nintendo Switch,tbd,dataset3
Call of Duty: Black Ops - Escalation,5/3/2011,Treyarch,Activision,Tactical FPS,Rated M For Mature,5.3,Xbox 360,79,dataset3
Call of Duty: Black Ops - Escalation,5/3/2011,Treyarch,Activision,Tactical FPS,Rated M For Mature,5.3,PlayStation 3,tbd,dataset3
Call of Duty: Black Ops - Escalation,5/3/2011,Treyarch,Activision,Tactical FPS,Rated M For Mature,5.3,PC,tbd,dataset3
Botanicula,4/19/2012,Amanita Design,Amanita Design,Point-and-Click,,8.3,PC,82,dataset3
Botanicula,4/19/2012,Amanita Design,Amanita Design,Point-and-Click,,8.3,iOS (iPhone/iPad),88,dataset3
Time Commando,7/31/1996,Adeline Software,Activision,Action Adventure,Rated T For Teen,8.0,PC,80,dataset3
Mary Skelter 2,10/22/2019,Compile Heart,Idea Factory,JRPG,Rated M For Mature,7.8,Nintendo Switch,75,dataset3
Virtua Tennis: World Tour,10/7/2005,Sumo Digital,Sega,Tennis,Rated E For Everyone,6.3,PSP,84,dataset3
Gyromancer,11/18/2009,PopCap,Square Enix,Matching Puzzle,Rated T For Teen,7.0,Xbox 360,75,dataset3
Gyromancer,11/18/2009,PopCap,Square Enix,Matching Puzzle,Rated T For Teen,7.0,PC,71,dataset3
Mighty Switch Force!,12/22/2011,WayForward,WayForward,2D Platformer,Rated E +10 For Everyone +10,7.7,3DS,79,dataset3
Tangle Tower,10/22/2019,SFB Games,SFB Games,Adventure,Rated T For Teen,7.8,iOS (iPhone/iPad),80,dataset3
Tangle Tower,10/22/2019,SFB Games,SFB Games,Adventure,Rated T For Teen,7.8,PC,74,dataset3
Tangle Tower,10/22/2019,SFB Games,SFB Games,Adventure,Rated T For Teen,7.8,Nintendo Switch,85,dataset3
Tangle Tower,10/22/2019,SFB Games,SFB Games,Adventure,Rated T For Teen,7.8,PlayStation 4,tbd,dataset3
Tangle Tower,10/22/2019,SFB Games,SFB Games,Adventure,Rated T For Teen,7.8,Xbox One,tbd,dataset3
Story of Seasons: Pioneers of Olive Town,3/23/2021,Three Rings,XSEED Games,Tycoon,Rated E For Everyone,7.1,PC,76,dataset3
Story of Seasons: Pioneers of Olive Town,3/23/2021,Three Rings,XSEED Games,Tycoon,Rated E For Everyone,7.1,Nintendo Switch,71,dataset3
Story of Seasons: Pioneers of Olive Town,3/23/2021,Three Rings,XSEED Games,Tycoon,Rated E For Everyone,7.1,PlayStation 4,76,dataset3
