title,release_date,developer,publisher,genre,product_rating,user_score,platform,metascore,source,summary
Adventure Island: The Beginning,2009-05-25,Hudson,Hudson Entertainment,2D Platformer,Rated E For Everyone,,Wii,60,dataset3,
Valkyria Chronicles,2008-11-04,Sega,Sega,Turn-Based Tactics,Rated T For Teen,8.7,PlayStation 3,86,dataset3,
Valkyria Chronicles,2008-11-04,Sega,Sega,Turn-Based Tactics,Rated T For Teen,8.7,PC,85,dataset3,
Valkyria Chronicles,2008-11-04,Sega,Sega,Turn-Based Tactics,Rated T For Teen,8.7,Nintendo Switch,84,dataset3,
Steredenn,2016-04-01,Pixelnest Studio,Plug In Digital,Horizontal Shoot-'Em-Up,Rated E +10 For Everyone +10,6.5,PC,tbd,dataset3,
Steredenn,2016-04-01,Pixelnest Studio,Plug In Digital,Horizontal Shoot-'Em-Up,Rated E +10 For Everyone +10,6.5,Xbox One,79,dataset3,
Steredenn,2016-04-01,Pixelnest Studio,Plug In Digital,Horizontal Shoot-'Em-Up,Rated E +10 For Everyone +10,6.5,PlayStation 4,tbd,dataset3,
Steredenn,2016-04-01,Pixelnest Studio,Plug In Digital,Horizontal Shoot-'Em-Up,Rated E +10 For Everyone +10,6.5,iOS,tbd,dataset3,
The King of Fighters 15,2022-02-14,SNK Corporation,Prime Matter,2D Fighting,Rated T For Teen,7.5,PlayStation 4,80,dataset3,
The King of Fighters 15,2022-02-14,SNK Corporation,Prime Matter,2D Fighting,Rated T For Teen,7.5,PlayStation 5,79,dataset3,
The King of Fighters 15,2022-02-14,SNK Corporation,Prime Matter,2D Fighting,Rated T For Teen,7.5,PC,85,dataset3,
The King of Fighters 15,2022-02-14,SNK Corporation,Prime Matter,2D Fighting,Rated T For Teen,7.5,Xbox Series X / S,79,dataset3,
Mega Man Legacy Collection + Mega Man Legacy Collection 2,2018-05-22,Digital Eclipse,Capcom,Compilation,Rated E +10 For Everyone +10,6.5,Nintendo Switch,79,dataset3,
Megaquarium,2018-09-13,Twice Circled,Twice Circled,Tycoon,,7.8,PC,69,dataset3,
Megaquarium,2018-09-13,Twice Circled,Twice Circled,Tycoon,,7.8,Nintendo Switch,70,dataset3,
Megaquarium,2018-09-13,Twice Circled,Twice Circled,Tycoon,,7.8,PlayStation 4,78,dataset3,
Megaquarium,2018-09-13,Twice Circled,Twice Circled,Tycoon,,7.8,Xbox One,tbd,dataset3,
